wkt_geom;gid;site_name;description;river_cat;user_id;time_stamp;river_name
POINT(30.34796000000000049 -30.04396900000000059);159;RivWalkS7;Island;rocky;12;2013-07-31T06:11:23.738;Mkhomazi
POINT(30.34147000000000105 -29.60736999999999952);136;D/S Bridge Rd;Site located downstream of the road bridge, & upstream of the KZN National Botanical Garden.;rocky;23;2013-08-02T07:25:11.094;Dorpspruit
POINT(30.07408399999999915 -29.89282800000000151);157;RivWalkS6;River Bank, School;rocky;12;2013-07-31T06:06:27.302;Mkhomazi
POINT(30.71032999999999902 -30.1708740000000013);161;RivWalkS8;River Bank, Road/Slip-way;sandy;12;2013-07-31T06:29:36.146;Mkhomazi
POINT(29.5727499999999992 -29.59724999999999895);153;RivWalkS2;Road Bridge, Car Wash;rocky;12;2013-07-31T10:59:27.753;Mkhomazi
POINT(29.91056299999999979 -29.74065699999999879);155;RivWalkS4;100 Year Old Road Bridge, Lundyshill;rocky;12;2013-07-31T11:00:58.356;Mkhomazi
POINT(30.2484800000000007 -29.49556000000000111);10;DUCTSite10;;rocky;1;2013-07-03T11:26:40.389;Umgeni
POINT(30.35656000000000176 -29.75387999999999877);174;RivWalkS1;Downstream of Wier and bridgeUpstream of Piggery Water effluent discharge point;rocky;17;2013-08-05T09:34:22.693;uMlaas
POINT(30.27774000000000143 -29.47685999999999851);11;DUCTSite11;;rocky;3;2013-07-03T12:01:48.165;Umgeni
POINT(30.42849000000000004 -29.43025000000000091);12;DUCTSite12;;rocky;11;2013-07-03T12:02:53.508;Umgeni
POINT(30.48770000000000024 -29.4857900000000015);13;DUCTSite13;;rocky;3;2013-07-03T12:06:50.218;Umgeni
POINT(29.93838999999999828 -29.40945999999999927);189;ShWorth stream;Stream near Shuttleworth weaving, goes from dam through a wetland, under the road and into another wetlannd and a bigger dam;rocky;39;2013-08-16T07:37:33.061;Shuttlewo
POINT(30.5069100000000013 -29.50490999999999886);14;DUCTSite14;;rocky;3;2013-07-03T12:17:02.615;Umgeni
POINT(30.55308000000000135 -29.55618000000000123);15;DUCTSite15;;rocky;3;2013-07-03T12:19:47.315;Umgeni
POINT(30.6200499999999991 -29.58853999999999829);16;DUCTSite16;Nagle Dam;rocky;3;2013-07-03T12:55:56.938;Umgeni
POINT(30.71273000000000053 -29.67791000000000068);17;DUCTSite17;Bottom of Mamba Gorge;rocky;3;2013-07-03T12:59:49.225;Umgeni
POINT(30.21980999999999895 -29.58852999999999867);75;RivWalkS2;Mthinzima River upstream of Mpophomeni suburbs;rocky;9;2013-06-24T16:30:45.886;Mthinzima
POINT(30.21276999999999902 -29.58567999999999998);77;RivWalkS3;Mthinzima River upstream of Mpophomeni;rocky;9;2013-06-24T16:30:55.635;Mthinzima
POINT(30.74505999999999872 -29.64623999999999882);18;DUCTSite18;;rocky;3;2013-07-03T13:02:38.35;Umgeni
POINT(30.86917000000000044 -29.71509);19;DUCTSite19;Inanda Dam Wall;rocky;3;2013-07-03T13:06:56.255;Umgeni
POINT(30.91002999999999901 -29.75637000000000043);22;DUCTSite22;Five Fingers Causeway;rocky;3;2013-07-03T13:35:17.482;Umgeni
POINT(30.89715999999999951 -29.73148000000000124);20;DUCTSite20;Molweni - Little John Bridge;rocky;3;2013-07-03T13:13:51.431;Umgeni
POINT(30.88712999999999909 -29.75307000000000102);21;DUCTSite21;Molweni Causeway;rocky;11;2013-07-03T13:30:50.145;Umgeni
POINT(30.93391000000000091 -29.76322000000000045);23;DUCTSite23;New Rd bridge, Kwadabeka;rocky;3;2013-07-03T13:38:42.299;Umgeni
POINT(30.94181999999999988 -29.78701999999999828);24;DUCTSite24;Mango Rapids;rocky;3;2013-07-03T13:43:34.787;Umgeni
POINT(30.94975000000000165 -29.79614000000000118);25;DUCTSite25;Silver Pipes;rocky;3;2013-07-03T13:46:38.435;Umgeni
POINT(30.98010999999999981 -29.80338000000000065);26;DUCTSite26;U/s N2 Bridge, Durban;rocky;3;2013-07-03T13:48:35.538;Umgeni
POINT(29.88485999999999976 -29.47477999999999909);1;DUCTSite1;Minsass 7.1.Slightly modified. couldnt find stone flies - got may & caddisflies.;rocky;12;2013-07-08T08:03:59.893;Umgeni
POINT(29.8997099999999989 -29.48687999999999931);2;DUCTSite2;;rocky;3;2013-07-08T08:04:05.803;Umgeni
POINT(29.93759000000000015 -29.49839000000000055);3;DUCTSite3;;rocky;12;2013-07-08T08:04:11.634;Umgeni
POINT(29.9693700000000014 -29.47652000000000072);4;DUCTSite4;;rocky;3;2013-07-08T08:04:18.174;Umgeni
POINT(30.02747000000000099 -29.5253799999999984);5;DUCTSite5;;rocky;11;2013-07-08T08:04:25.315;Umgeni
POINT(30.07751999999999981 -29.51922000000000068);6;DUCTSite6;;rocky;3;2013-07-08T08:04:47.974;Umgeni
POINT(30.12486000000000175 -29.47898999999999958);7;DUCTSite7;;rocky;11;2013-07-08T08:05:19.344;Umgeni
POINT(30.20250000000000057 -29.49288999999999916);8;DUCTSite8;;rocky;11;2013-07-08T08:05:29.841;Umgeni
POINT(30.21609000000000123 -29.48779000000000039);9;DUCTSite9;;rocky;11;2013-07-08T08:05:37.458;uMgeni
POINT(30.20825999999999922 -29.58369000000000071);78;RivWalkS4;Mthinzima River adjacent to Mpophomeni;rocky;9;2013-06-24T16:31:05.498;Mthinzima
POINT(30.35424000000000078 -29.57172999999999874);84;u/s Vactiv;Site on the Townbush stream upstream of Virgin Active Gym;rocky;9;2013-06-24T19:42:35.073;Townbush
POINT(30.34732999999999947 -29.60688999999999993);195;forest stream;Rocky/Stream;rocky;34;2013-11-29T09:35:29.732;KngFischer
POINT(18.45400000000000063 -34.06199999999999761);649;Vans Rd;Green belt. Opposite shopping mall. ;sandy;384;2014-12-01T10:06:34.702;Keyser's
POINT(18.50380099999999928 -34.06098200000000276);650;Zeekoevlei; freshwater lake on the Cape Flats;;;;
;;;;;;;
-34.060982, 18.503801;sandy;385;2014-12-02T13:33:04.784;Zeekoevlei;;;
POINT(30.35488000000000142 -29.57161999999999935);64;TownBushUS;Town Bush Stream, upstream of the Cascades Shopping Centre;rocky;9;2013-06-24T16:29:13.129;Umgeni
POINT(30.4010700000000007 -29.59936000000000078);190;U/S Confluence;Upstream of confluence;rocky;40;2013-08-20T13:20:55.763;Dorpspruit
POINT(30.22131999999999863 -29.58926999999999907);74;RivWalkS1;Mthinzima River near the source, upstream of Mpophomeni;rocky;9;2013-06-24T16:30:36.996;Mthinzima
POINT(28.11972221999999988 -26.05972222000000116);192;Reserve;Modderfontein Reserve;rocky;19;2013-08-16T15:15:58.68;Modderfont
POINT(28.16877777999999921 -26.10875000000000057);194;Illiondale;Below Margaret Road Bridge;rocky;19;2013-08-16T15:40:14.806;Modderfont
POINT(25.60397000000000034 -33.97131000000000256);652;Settlers Park;Rocky pool above and below the weir;rocky;130;2014-12-15T13:42:20.128;Baakens
POINT(29.3785349999999994 -29.51490099999999828);152;RivWalkS1;Source, Cliff face, Small Waterfall;rocky;12;2013-08-20T13:16:49.562;Mkhomazi
POINT(30.24634 -29.47586000000000084);71;ShelterVal;Shelter Valley;rocky;12;2013-07-01T06:57:47.348;uMgeni
POINT(29.95761299999999849 -29.78396199999999894);156;RivWalkS5;Railway Bridge;rocky;12;2013-07-31T06:03:42.878;Mkhomazi
POINT(30.71032999999999902 -30.1708740000000013);160;RivWalkS8;River Bank, Road/Slip-way;sandy;12;2013-07-31T06:15:48.266;Mkhomazi
POINT(29.73908199999999979 -29.62867200000000167);154;RivWalkS3;New Bridge;rocky;12;2013-07-31T10:59:45.476;Mkhomazi
POINT(30.35773999999999972 -29.75501500000000021);175;RivWalkS2;Drinking path for bucks;rocky;17;2013-08-05T09:34:37.055;uMlaas
POINT(27.89613200000000148 -32.9419329999999988);196;SmythelandRd;Abbotsford causeway in Dorchester Heights. One side of river has homes (urbanisation)  and other side has farm lands. No visible pollutants in water.  River is flowing.;rocky;44;2014-04-22T07:50:02.166;Nahoon
POINT(28.54674500000000137 -30.24747599999999892);653;Tsikarong JSS;agriculture and settlements along river. Wattle in the catchment;rocky;225;2014-12-15T13:49:17.038;Nkoeliararo
POINT(29.41565999999999903 -29.70085999999999871);231;CobhamNR;Downstream of swing bridgeStream adjacent Cobham Camp Site;rocky;13;2013-10-07T07:37:39.886;Pholela
